temperature_2m_C,humidity_2m_%,sea_level_pressure_hPa,precipitation_mm,snowfall_mm,cloud_cover_%,high_cloud_cover_%,mid_cloud_cover_%,low_cloud_cover_%,shortwave_radiation_Wm2,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_80m_ms,wind_direction_80m_deg,wind_speed_900mb_ms,wind_direction_900mb_deg,wind_gust_10m_ms,angle_of_incidence_deg,zenith_deg,azimuth_deg,power_generated_kW
2.17,31,1035.0,0.0,0.0,0.0,0,0,0,0.0,6.37,312.71,9.36,22.62,6.62,337.62,24.48,58.75,83.24,128.34,454.1
2.31,27,1035.1,0.0,0.0,0.0,0,0,0,1.78,5.15,294.78,5.99,32.74,4.61,321.34,21.96,45.41,75.14,139.66,1412.0
3.65,33,1035.4,0.0,0.0,0.0,0,0,0,108.58,4.68,270.0,3.89,56.31,3.76,286.7,14.04,32.85,68.82,152.54,2214.85
5.82,30,1035.4,0.0,0.0,0.0,0,0,0,258.1,3.6,323.13,3.55,23.96,3.08,339.44,19.8,22.7,64.88,166.9,2527.61
7.73,27,1034.4,0.0,0.0,0.0,0,0,0,375.58,6.21,10.01,6.76,25.2,6.62,22.38,16.56,19.2,63.8,182.14,2640.2
8.69,29,1034.6,0.0,0.0,0.0,0,0,0,449.45,6.29,23.63,7.1,30.47,6.92,27.9,17.28,25.09,65.7,197.22,2546.08
9.72,27,1034.0,0.0,0.0,0.0,0,0,0,469.92,5.96,25.02,6.61,29.36,6.44,26.57,12.96,36.2,70.35,211.21,2270.32
10.07,28,1034.1,0.0,0.0,0.0,0,0,0,436.99,7.07,14.74,7.63,19.29,7.52,16.7,10.8,49.07,77.23,223.66,1063.83
9.38,32,1033.9,0.0,0.0,0.0,0,0,0,353.33,9.42,6.58,10.5,5.91,10.14,6.12,11.52,62.37,85.59,234.5,86.82
6.54,47,1035.1,0.0,0.0,0.0,0,0,0,228.73,7.92,360.0,12.25,1.68,11.53,1.79,12.24,105.87,121.46,216.07,9.67
2.18,24,1038.5,0.0,0.0,0.9,3,0,0,0.0,7.15,229.09,5.77,93.58,2.31,141.34,19.08,58.85,83.24,128.2,513.91
2.41,25,1038.4,0.0,0.0,1.8,6,0,0,2.67,7.7,232.59,5.04,90.0,1.94,158.2,18.36,45.49,75.13,139.51,1076.72
4.21,33,1039.3,0.0,0.0,0.0,0,0,0,113.92,6.49,236.31,3.6,90.0,1.94,111.8,16.92,32.9,68.78,152.4,1018.71
6.9,36,1039.0,0.0,0.0,0.0,0,0,0,255.43,3.96,270.0,4.58,45.0,4.33,41.63,15.48,22.69,64.82,166.77,2307.09
9.29,30,1037.6,0.0,0.0,0.9,3,0,0,380.03,6.49,19.44,7.9,30.07,8.22,28.81,15.84,19.11,63.71,182.12,2261.34
11.86,26,1036.5,0.0,0.0,100.0,100,100,0,400.5,5.69,18.43,6.3,30.96,6.3,30.96,9.72,24.95,65.59,197.13,1706.41
12.47,26,1036.5,0.0,0.0,100.0,100,100,0,415.63,9.11,18.43,9.69,21.8,9.69,21.8,10.08,36.06,70.23,211.15,1385.81
11.99,30,1036.7,0.0,0.0,100.0,100,100,0,387.15,10.83,15.42,11.38,18.43,11.38,18.43,11.88,48.95,77.1,223.62,547.78
11.32,33,1036.5,0.0,0.0,100.0,100,100,0,333.75,10.93,17.24,11.63,21.8,11.63,21.8,12.6,62.15,85.38,234.4,61.57
3.77,35,1039.1,0.0,0.0,0.0,0,0,0,0.0,6.99,235.49,12.72,295.11,12.25,294.3,7.2,58.98,83.27,128.02,419.21
